,Name,Genre,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
509,Crayola Scoot,Sports,PS4,Outright Games,Outright Games,0.02,0.01,,,0.0
510,Space Hulk Tactics,Strategy,XOne,Focus Home Interactive,Cyanide,0.02,0.02,,,0.0
511,Adventure Time: Pirates of the Enchiridion,Adventure,PS4,Outright Games,Outright Games,0.02,0.01,,,0.0
512,Persona 5: Dancing in Starlight,Music,PSV,Atlus,Atlus,0.02,,,0.02,
513,SteamWorld Dig 2,Platform,PS4,Rising Star Games,Image & Form Games,0.02,0.01,,,0.0
514,Metal Max Xeno,Role-Playing,PSV,Kadokawa Games,Kadokawa Games,0.02,,,0.02,
515,Rad Rodgers,Platform,XOne,THQ Nordic,3D Realms,0.02,0.02,,,0.0
516,Full Metal Panic! Fight: Who Dares Wins,Fighting,PS4,Bandai Namco Entertainment,Bandai Namco Games,0.02,,,0.02,
517,Tennis World Tour,Sports,NS,Bigben Interactive,Breakpoint Studio,0.02,0.02,,,0.0
518,Gal Metal!,Music,NS,Xseed Games,DMM Games,0.02,0.01,,0.01,0.0
519,Minecraft: Story Mode - Season Two,Adventure,NS,Telltale Games,Telltale Games,0.02,0.02,,,0.0
520,Destiny 2: Forsaken,Shooter,PC,Activision,Bungie,0.02,,0.02,,0.0
521,Project Highrise: Architect's Edition,Simulation,PS4,Kalypso Media,SomaSim,0.02,0.01,,,0.0
522,"Warhammer 40,000: Inquisitor - Martyr",Action,XOne,Neocore Games,Neocore Games,0.02,0.02,,,0.0
523,Gotouchi Tetsudou for Nintendo Switch!!,Puzzle,NS,Bandai Namco Games,Grounding Inc.,0.02,,,0.02,
524,Utawarerumono: Chiriyukusha e no Komoriuta,Role-Playing,PSV,Aqua Plus,Aqua Plus,0.02,,,0.02,
525,Ferrari: The Race Experience,Racing,Wii,System 3 Arcade Software,Eutechnyx,0.02,,0.02,,0.0
526,Project Highrise: Architect's Edition,Simulation,NS,Kalypso Media,SomaSim,0.02,0.01,,,0.0
527,Touhou Genso Wanderer Reloaded,Role-Playing,PS4,NIS America,AQUA STYLE,0.02,0.01,,,0.0
528,Tour de France 2018,Simulation,PS4,Focus Home Interactive,Cyanide Studio,0.02,,0.01,,0.0
529,Fallen Legion: Rise to Glory,Role-Playing,NS,NIS America,Unknown,0.02,0.01,,,0.0
530,Senran Kagura: Peach and Reflexions Limited Double Pack,Misc,NS,Marvelous,Marvelous,0.02,,,0.02,
531,Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!,Strategy,3DS,FuRyu Corporation,FuRyu,0.02,,,0.02,
532,GRIP: Combat Racing,Racing,NS,U&I Entertainment,Caged Element,0.02,0.01,,,0.0
533,Crayola Scoot,Sports,XOne,Outright Games,Outright Games,0.02,0.01,,,0.0
534,Dance! It's Your Stage,Misc,Wii,Unknown,Sproing Interactive Media GMBH,0.02,,0.01,,0.0
535,SNK Heroines Tag Team Frenzy,Fighting,PS4,NIS America,SNK Corporation,0.02,,,0.02,
536,Dakar 18,Racing,XOne,Deep Silver,Bigmoon Entertainment,0.02,0.01,,,0.0
537,Rapala Fishing Pro Series,Simulation,NS,GameMill Entertainment,"Concrete Software, Inc.",0.02,0.01,,,0.0
538,Persona Dancing: Deluxe Twin Plus,Music,PSV,Atlus,Atlus,0.02,,,0.02,
539,Pioneer no Banshou,Visual Novel,PSV,Idea Factory,Idea Factory,0.02,,,0.02,
540,Yoku's Island Express,Action,XOne,Villa Gorilla,Villa Gorilla,0.02,0.01,,,0.0
541,Dragon Quest X: All in One Package Ver.1-4,MMO,PS4,Square Enix,Square Enix,0.01,,,0.01,
542,GRIP: Combat Racing,Racing,PS4,U&I Entertainment,Caged Element,0.01,0.01,,,0.0
543,Harukanaru Toki no Naka de Ultimate,Visual Novel,PSV,Koei Tecmo,Koei Tecmo Games,0.01,,,0.01,
544,Musynx,Music,NS,PM Studios,PM Studios,0.01,0.01,,,0.0
545,VOEZ,Music,NS,PM Studios,Rayark Inc.,0.01,0.01,,0.01,0.0
546,Banner Saga Trilogy,Role-Playing,NS,Gearbox Software,Stoic Studio,0.01,0.01,,,0.0
547,Ikemen Sengoku: Toki o Kakeru Koi - Aratanaru Deai,Visual Novel,PSV,Idea Factory,CYBIRD,0.01,,,0.01,
548,La Corda d'Oro 3,Visual Novel,PSV,Koei Tecmo,Ruby Party,0.01,,,0.01,
549,Moto Racer 4,Racing,NS,Maximum Games,Microids,0.01,0.01,,,0.0
550,Tempest 4000,Shooter,XOne,Atari,Llamasoft,0.01,0.01,,,0.0
551,Flipping Death,Adventure,NS,Rising Star,Zoink Games,0.01,0.01,,,0.0
552,Max: The Curse of Brotherhood,Action-Adventure,NS,Wired Productions,Stage Clear Studios,0.01,0.01,,,0.0
553,God Wars: Nihon Shinwa Taisen,Role-Playing,PS4,Kadokawa Games,Kadokawa Games,0.01,,,0.01,
554,Brawlout,Fighting,NS,Merge Games,Angry Mob Games,0.01,0.01,,,0.0
555,Bullet Girls: Phantasia,Action,PSV,D3 Publisher,Shade,0.01,,,0.01,
556,Yoku's Island Express,Action,PS4,Villa Gorilla,Villa Gorilla,0.01,0.01,,,0.0
557,Mega Man X Legacy Collection 1,Platform,PS4,Capcom,Capcom,0.01,,,0.01,
558,Killer and Strawberry,Visual Novel,PSV,Broccoli,Broccoli,0.01,,,0.01,
559,Mega Man X Legacy Collection 1,Platform,NS,Capcom,Capcom,0.01,,,0.01,
560,Big Buck Hunter Arcade,Shooter,NS,GameMill Entertainment,GameMill Entertainment,0.01,0.01,,,0.0
561,London Detective Mysteria,Visual Novel,PSV,Xseed Games,Karin Entertainment,0.01,,,0.01,
562,Mercenaries Saga Chronicles,Strategy,NS,PM Studios,"Rideon Japan, Inc.",0.01,0.01,,,0.0
563,Billion Road,Board Game,NS,Bandai Namco Games,Bandai Namco Games,0.01,,,0.01,
564,Far Cry 3: Classic Edition,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal,0.01,,,0.01,
565,Flashback,Platform,PS4,Microids,Paul Cuisset,0.01,0.01,,,0.0
566,Jake Hunter Detective Story: Prism of Eyes,Adventure,PS4,Arc System Works,Arc System Works,0.01,,,0.01,
567,Hotel Transylvania 3: Monsters Overboard,Action-Adventure,NS,Outright Games,Torus Games,0.01,0.01,,,0.0
568,Tempest 4000,Shooter,PS4,Atari,Llamasoft,0.01,0.01,,,0.0
569,The Elder Scrolls Online: Summerset,MMO,PC,Bethesda Softworks,ZeniMax Online Studios,0.01,,0.01,,0.0
570,Atelier: The Alchemist of Arland 1-2-3 DX,Role-Playing,PS4,Koei Tecmo,Gust,0.01,,,0.01,
571,Project Highrise: Architect's Edition,Simulation,XOne,Kalypso Media,SomaSim,0.01,0.01,,,0.0
572,This Is the Police 2,Strategy,NS,THQ Nordic,Weappy Studio,0.01,0.01,,,0.0
573,Capcom Beat 'Em Up Bundle,Fighting,PS4,Capcom,Capcom,0.01,,,0.01,
574,Titan Quest,Action,NS,THQ Nordic,Iron Lore Entertainment,0.01,0.01,,,0.0
575,Nari Kids Park: Hugtto! PreCure,Action,NS,Bandai Namco Games,Bandai Namco Games,0.01,,,0.01,
576,Mothergunship,Shooter,XOne,Sold Out,Grip Games,0.01,0.01,,,0.0
577,Let's Sing 2019,Music,Wii,Ravenscourt,Ravenscourt,0.01,,0.01,,0.0
578,Moonlighter,Role-Playing,PS4,Merge Games,Digital Sun,0.01,0.01,,,0.0
579,All-Star Fruit Racing,Racing,NS,PQube,3DClouds.it,0.01,0.01,,,0.0
580,Candle: The Power of the Flame,Platform,NS,Merge Games,Teku Studios,0.01,0.01,,,0.0
581,Crayola Scoot,Sports,NS,Outright Games,Outright Games,0.01,0.01,,,0.0
582,Wordhunters,Misc,PS4,Wired Productions,thumbfood Ltd.,0.01,0.01,,,0.0
583,Doukoku Soshite... Doukoku Soshite...,Visual Novel,PS4,El Dia,El Dia,0.01,,,0.01,
584,Capcom Beat 'Em Up Bundle,Fighting,NS,Capcom,Capcom,0.01,,,0.01,
585,Jake Hunter Detective Story: Prism of Eyes,Adventure,NS,Arc System Works,Arc System Works,0.01,,,0.01,
586,Mega Man X Legacy Collection 2,Platform,NS,Capcom,Capcom,0.01,,,0.01,
587,Winning Post 8 2018,Sports,NS,Koei Tecmo,Koei Tecmo Games,0.01,,,0.01,
588,Mothergunship,Shooter,PS4,Sold Out,Grip Games,0.01,0.01,,,0.0
589,Tokimeki Restaurant: Project Tristars,Visual Novel,PSV,KOEI,Ruby Party,0.01,,,0.01,
590,F1 2018,Racing,PC,Codemasters,Codemasters Birmingham,0.01,,0.01,,0.0
591,Gal Gun 2,Simulation,PS4,PQube,Inti Creates,0.01,,,0.01,
592,Persona 3: Dancing in Moonlight,Music,PSV,Atlus,Atlus,0.01,,,0.01,
593,Gungrave VR,Shooter,PS4,Xseed Games,IGGYMOB,0.01,0.01,,,0.0
594,Winning Post 8 2018,Sports,PSV,Koei Tecmo,Koei Tecmo Games,0.01,,,0.01,
595,"Tengai ni Mau, Iki na Hana",Visual Novel,PSV,Idea Factory,Idea Factory,0.01,,,0.01,
596,Legendary Fishing,Sports,NS,Ubisoft,Ubisoft,0.01,0.01,,0.0,0.0
597,Hyperdimension Neptunia Re;Birth1 Plus,Role-Playing,PS4,Compile Heart,Idea Factory,0.01,,,0.01,
598,Hasbro Game Night for Nintendo Switch,Party,NS,Ubisoft,Ubisoft,0.01,,0.01,,0.0
599,CharadeManiacs,Action,PSV,Idea Factory,Otomate,0.01,,,0.01,
600,Lapis x Labyrinth,Role-Playing,PS4,Nippon Ichi Software,Nippon Ichi Software,0.01,,,0.01,
601,Jagged Alliance: Rage!,Strategy,PS4,THQ Nordic,Cliffhanger Productions,0.01,0.01,,,0.0
602,Peach Ball: Senran Kagura,Misc,NS,Marvelous Entertainment,HONEY PARADE GAMES,0.01,,,0.01,
603,Lapis x Labyrinth,Role-Playing,NS,Nippon Ichi Software,Nippon Ichi Software,0.01,,,0.01,
604,Trailblazers,Racing,NS,Rising Star Games,Supergonk,0.01,0.01,,,0.0
605,Doukoku Soshite... Doukoku Soshite...,Visual Novel,PSV,El Dia,El Dia,0.01,,,0.01,
606,V-Rally 4,Racing,PS4,Bigben Interactive,Kylotonn,0.01,0.01,,,0.0
607,WORKxWORK,Role-Playing,NS,FuRyu Corporation,FuRyu,0.01,,,0.01,
608,Million Arthur: Arcana Blood,Fighting,PS4,Square Enix,Square Enix,0.01,,,0.01,
609,Atelier: The Alchemist of Arland 1-2-3 DX,Role-Playing,NS,Koei Tecmo,Gust,0.01,,,0.01,
610,Fortissimo,Adventure,PSV,Otomate Idea Factory,Kadokawa Games,0.01,,,0.01,
611,Neo Atlas 1469,Simulation,NS,Studio Artdink,ArtDink,0.01,,,0.01,
612,Yoku's Island Express,Action,NS,Villa Gorilla,Villa Gorilla,0.01,0.01,,,0.0
613,Steins;Gate Elite,Visual Novel,PSV,5pb,5pb. Inc.,0.01,,,0.01,
614,NG,Adventure,PSV,Experience Inc.,Experience Inc.,0.01,,,0.01,
615,SteamWorld Dig 2,Platform,NS,Rising Star Games,Image & Form Games,0.01,0.01,,,0.0
616,Ketsui Deathtiny: Kizuna Jigoku Tachi,Action,PS4,M2,M2,0.01,,,0.01,
617,Giana Sisters: Twisted Dreams,Platform,NS,THQ Nordic,Black Forest Games,0.01,0.01,,,0.0
618,Yuuna and the Haunted Hot Springs: Steam Dungeon,Role-Playing,PS4,FuRyu Corporation,FuRyu,0.01,,,0.01,
619,The Liar Princess and the Blind Prince,Platform,PSV,Nippon Ichi Software,Nippon Ichi Software,0.01,,,0.01,
620,God Wars: Nihon Shinwa Taisen,Role-Playing,PSV,Kadokawa Games,Kadokawa Games,0.01,,,0.01,
621,Cube Creator X,Misc,NS,Arc System Works,Arc System Works,0.01,,,0.01,
622,V-Rally 4,Racing,XOne,Bigben Interactive,Kylotonn,0.01,0.01,,,0.0
623,Vitamin X: Destination,Visual Novel,PSV,D3Publisher,HuneX,0.01,,,0.01,
624,Grisaia Phantom Trigger 03 & 04,Visual Novel,PSV,Prototype,Prototype,0.01,,,0.01,
625,Wand of Fortune R2 FD: Kimi ni Sasageru Epilogue,Adventure,PSV,Idea Factory,Idea Factory,0.01,,,0.01,
626,Jagged Alliance: Rage!,Strategy,XOne,THQ Nordic,Cliffhanger Productions,0.01,0.01,,,0.0
627,Darksiders III,Action,PC,THQ Nordic,Gunfire Games,0.01,,0.01,,0.0
628,Kurenai no Homura: Sanada Ninpou Chou,Adventure,PSV,Idea Factory,Idea Factory,0.01,,,0.01,
629,Maitetsu: Pure Station,Visual Novel,PS4,Yeti,Lose,0.01,,,0.01,
630,Leisure Suit Larry: Wet Dreams Don't Dry,Adventure,PC,Assemble Entertainment,CrazyBunch,0.01,,0.01,,0.0
631,Just Deal With It,Party,PS4,Wired Productions,Wired Productions,0.01,0.01,,,0.0
632,Memories Off: Innocent File,Visual Novel,PS4,MAGES,5pb. Games,0.01,,,0.01,
633,Flowers: Le volume sur hiver,Visual Novel,PSV,Prototype,Prototype,0.01,,,0.01,
634,Legend of Kay Anniversary,Action-Adventure,NS,THQ Nordic,THQ Nordic,0.01,,0.01,,0.0
635,Nil Admirari no Tenbin: Irodori Nadeshiko,Visual Novel,NS,Idea Factory,Idea Factory,0.01,,,0.01,
636,Sengoku Hime 7: Sen'un Tsuranuku Guren no Ishi,Visual Novel,PSV,System Soft Alpha,Gesen 18,0.01,,,0.01,
637,Kimi no Hitomi ni Hit Me,Visual Novel,PSV,Entergram,Giga,0.01,,,0.01,
638,ATV Drift & Tricks,Racing,NS,Microids,Artefacts Studio,0.01,0.01,,,0.0
639,Kunio-kun: The World Classics Collection,Misc,NS,Arc System Works,"Million Co., Ltd.",0.01,,,0.01,
640,Closed Nightmare,Misc,PS4,Nippon Ichi Software,Nippon Ichi Software,0.01,,,0.01,
641,Kunio-kun: The World Classics Collection,Misc,PS4,Arc System Works,"Million Co., Ltd.",0.01,,,0.01,
642,Your Four Knight Princesses Training Story,Role-Playing,PSV,Nippon Ichi Software,Nippon Ichi Software,0.01,,,0.01,
643,Lucky Dog 1,Visual Novel,PSV,Prototype,Prototype,0.01,,,0.01,
644,Shiro to Kuro no Alice: Twilight Line,Visual Novel,PSV,Idea Factory,"Kogado Studio, Inc.",0.01,,,0.01,
645,Cafe Cuillere,Visual Novel,PSV,Takuyo,Takuyo,0.01,,,0.01,
646,Happy Birthdays,Misc,NS,NIS America,Arc System Works,0.01,0.01,,,0.0
647,Koshotengai no Hashihime Noma,Visual Novel,PSV,Dramatic Create,ADELTA,0.01,,,0.01,
648,Saiaku Naru Saiyaku Ningen ni Sasagu,Visual Novel,PS4,Kemco,Kemco,0.01,,,0.01,
649,Amatsutsumi,Visual Novel,PSV,Prototype,Prototype,0.01,,,0.01,
650,Mega Man X Legacy Collection 2,Platform,PS4,Capcom,Capcom,0.01,,,0.01,
651,Dynamic Chord feat. Apple-Polisher: V Edition,Adventure,PSV,honeybee,honeybee,0.01,,,0.01,
652,Happy Manager: Shiawase Zhuang no Kanrinin San,Simulation,PS4,D3 Publisher,D3 Publisher,0.01,,,0.01,
653,Dance with Devils: My Carol,Visual Novel,PSV,Rejet,Rejet,0.01,,,0.01,
654,Memories Off: Innocent File,Visual Novel,PSV,MAGES,5pb. Games,0.01,,,0.01,
655,World End Syndrome,Visual Novel,NS,Arc System Works,Arc System Works,0.01,,,0.01,
656,Sweet Pool,Visual Novel,PSV,Dramatic Create,Dramatic Create,0.01,,,0.01,
657,Nari Kids Park: Ultraman R/B,Action,NS,Bandai Namco Games,Bandai Namco Games,0.0,,,0.0,
658,Daitoshokan no Hitsujikai: Library Party,Visual Novel,NS,Aria,August,0.0,,,0.0,
659,Cendrillon palikA,Visual Novel,NS,Idea Factory,Otomate,0.0,,,0.0,
660,Sanzen Sekai Yuugi: Re Multi Universe Myself,Visual Novel,PSV,Dramatic Create,girls dynamics,0.0,,,0.0,
661,Clannad,Visual Novel,PS4,Prototype,Prototype,0.0,,,0.0,
662,Hakuoki: Shinkai - Fuukaden,Visual Novel,NS,Idea Factory,Idea Factory,0.0,,,0.0,
663,Beniiro Tenjou Ayakashi Kitan Futaai,Adventure,PSV,Dramatic Create,Dramatic Create,0.0,,,0.0,
664,Shin Megami Tensei IV Double Hero Pack,Action,3DS,Atlus,Atlus,0.0,,,0.0,
665,Floral Flowlove,Visual Novel,PSV,Entergram,Entergram,0.0,,,0.0,
666,Dillon's Dead-Heat Breakers,Action,3DS,Nintendo,Nintendo,0.0,,,0.0,
667,Natsuiro Kokoro Log,Visual Novel,PSV,Dramatic Create,Dramatic Create,0.0,,,0.0,
668,Ninki Seiyuu no Tsukurikata,Adventure,PSV,Entergram,Entergram,0.0,,,0.0,
669,"Nora, Princess, and Stray Cat",Visual Novel,PS4,Harukaze,Harukaze,0.0,,,0.0,
670,Pure Farming 2018,Simulation,PC,Techland,Ice Flames,0.0,,0.0,,0.0
671,D.S.: Dal Segno,Visual Novel,PSV,Entergram,Entergram,0.0,,,0.0,
672,Hello Lady! Superior Dynamis,Visual Novel,PSV,Dramatic Create,Dramatic Create,0.0,,,0.0,
673,Railway Empire,Simulation,PC,Kalypso Media,Gaming Minds Studios,0.0,,0.0,,0.0
674,Aokana: Four Rhythm Across the Blue,Visual Novel,NS,Sprite,Sprite,0.0,,,0.0,
675,Boku to Nurse no Kenshuu Nisshi,Visual Novel,PS4,Entergram,Entergram,0.0,,,0.0,
676,Crash Bandicoot N. Sane Trilogy,Platform,PC,Activision,Vicarious Visions,0.0,,0.0,,0.0
677,Kanojo Step,Visual Novel,PSV,Piacci,Piacci,0.0,,,0.0,
678,The Mahjong,Puzzle,NS,D3Publisher,D3Publisher,0.0,,,0.0,
679,Closed Nightmare,Misc,NS,Nippon Ichi Software,Nippon Ichi Software,0.0,,,0.0,
680,Ephemeral: Fantasy on Dark,Adventure,PSV,Dramatic Create,Dramatic Create,0.0,,,0.0,
681,WorldNeverland: Elnea Kingdom,Misc,NS,althi Inc.,althi Inc.,0.0,,,0.0,
682,Nari Kids Park: Kaitou Sentai Lupinranger Vs. Keisatsu Sentai Patoranger,Action,NS,Bandai Namco Games,Bandai Namco Games,0.0,,,0.0,
683,Seven Days: Anata to Sugosu Nanokakan,Visual Novel,PSV,Prototype,Prototype,0.0,,,0.0,
684,Pro Cycling Manager 2018,Simulation,PC,Focus Home Interactive,Cyanide Studio,0.0,,0.0,,0.0
685,"Nora, Princess, and Stray Cat",Visual Novel,NS,Harukaze,Harukaze,0.0,,,0.0,
686,Memories Off: Innocent File,Visual Novel,NS,5pb,5pb. Games,0.0,,,0.0,
687,Enkan no Memoria: Kakera Tomoshi,Visual Novel,PSV,Dramatic Create,A'sRing,0.0,,,0.0,
688,Island,Adventure,PS4,Prototype,Prototype,0.0,,,0.0,
689,Tonari ni Kanojo no Iru Shiawase: Winter Guest,Adventure,PS4,Entergram,Entergram,0.0,,,0.0,
690,Street Fighter 30th Anniversary Collection,Fighting,PC,Capcom,Capcom,0.0,,0.0,,0.0
691,Ni no Kuni II: Revenant Kingdom,Role-Playing,PC,Namco Bandai Games,Level 5,0.0,,0.0,,0.0
692,MotoGP 18,Racing,PC,Milestone S.r.l.,Milestone S.r.l,0.0,,0.0,,0.0
693,Super Smash Bros. Ultimate,Fighting,NS,Nintendo,Bandai Namco Games,,,,,
694,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,NS,Nintendo,Game Freak,,,,,
695,Rust,Action-Adventure,PC,Facepunch Studios,Facepunch Studios,,,,,
696,Marvel's Spider-Man,Action-Adventure,PS4,Sony Interactive Entertainment,Insomniac Games,,,,,
697,Super Mario Party,Party,NS,Nintendo,"Nd Cube Co., Ltd.",,,,,
698,World of Warcraft: Battle for Azeroth,MMO,PC,Blizzard Entertainment,Blizzard Entertainment,,,,,
699,Subnautica,Adventure,PC,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,,,,
700,Mario Tennis Aces,Sports,NS,Nintendo,Camelot Software Planning,,,,,
701,Kirby Star Allies,Platform,NS,Nintendo,HAL Laboratory,,,,,
702,Yokai Watch Blasters: Red Cat Corps / White Dog Squad,Role-Playing,3DS,Nintendo,Level 5,,,,,
703,Donkey Kong Country: Tropical Freeze,Platform,NS,Nintendo,Retro Studios,,,,,
704,Detroit: Become Human,Adventure,PS4,Sony Interactive Entertainment,Quantic Dream,,,,,
705,Octopath Traveler,Role-Playing,NS,Nintendo,Square Enix,,,,,
706,Conan Exiles,Action-Adventure,PC,Maximum Games,Funcom Oslo A/S,,,,,
707,Kingdom Come: Deliverance,Role-Playing,PC,Warhorse Studios,Warhorse Studios,,,,,
708,Nintendo Labo: Toy-Con 01 Variety Kit,Misc,NS,Nintendo,Nintendo EPD,,,,,
709,Captain Toad: Treasure Tracker,Puzzle,NS,Nintendo,Nintendo EPD,,,,,
710,Bendy and the Ink Machine,Puzzle,PC,Joey Drew Studios Inc.,TheMeatly Games,,,,,
711,Yakuza 6: The Song of Life,Adventure,PS4,Sega,Sega,,,,,
712,Final Fantasy XV: Windows Edition,Role-Playing,PC,Square Enix,Square Enix,,,,,
713,Jurassic World Evolution,Simulation,PC,Frontier Developments,Frontier Developments,,,,,
714,Dragon Ball FighterZ,Fighting,PC,Namco Bandai Games,Arc System Works,,,,,
715,No Time To Explain Remastered,Action-Adventure,PC,Unknown,TinyBuild Games,,,,,
716,Dark Souls: Remastered,Role-Playing,PC,Bandai Namco Entertainment,From Software,,,,,
717,Dead Realm,Action-Adventure,PC,Unknown,"Section Studios, Inc.",,,,,
718,Pit People,Strategy,PC,The Behemoth,The Behemoth,,,,,
719,Dark and Light,Role-Playing,PC,Unknown,Snail Games USA,,,,,
720,Talon Man Remastered,Puzzle,Amig,Out of crumpet's:,OutOfTime|OutOfCrumpets,,,,,
721,For The King,Role-Playing,PC,Unknown,IronOak Games,,,,,
722,Tales of Berseria,Role-Playing,PC,Namco Bandai Games,Namco Bandai Games,,,,,
723,Battle Royale Trainer,Shooter,PC,Trickjump Games Ltd,Trickjump Games Ltd,,,,,
724,PixARK,Sandbox,PC,Snail Games USA,Snail Games USA,,,,,
725,Total War Saga: Thrones of Britannia,Strategy,PC,Sega,Creative Assembly,,,,,
726,SweatShop,Simulation,PC,Unknown,DUCK,,,,,
727,House Party,Adventure,PC,Unknown,"Eek! Games, LLC",,,,,
728,Legend of Dungeon,Role-Playing,PC,Unknown,Robot Loves Kitty,,,,,
729,Russian SuperHero Dead Ivan,Action,PC,Unknown,Anatoliy Loginovskikh,,,,,
730,Pillars of Eternity II: Deadfire,Role-Playing,PC,Versus Evil,Obsidian Entertainment,,,,,
731,Call of Duty: Modern Warfare Remastered,Shooter,PC,Activision,Infinity Ward,,,,,
732,Crab Dub,Action,PC,Unknown,Anatoliy Loginovskikh,,,,,
733,Sword Art Online: Fatal Bullet,Role-Playing,PC,Namco Bandai Games,Dimps Corporation,,,,,
734,Spakoyno: Back to the USSR 2.0,Adventure,PC,Unknown,Separate Game Development,,,,,
735,Vampyr,Role-Playing,PC,Focus Home Interactive,DONTNOD Entertainment,,,,,
736,Yooka-Laylee,Platform,PC,Team17 Software,Playtonic Games,,,,,
737,28 Waves Later,Action-Adventure,PC,Unknown,Dagestan Technology,,,,,
738,We Happy Few,Action,PC,Gearbox Software,Compulsion Games,,,,,
739,Zeno Clash 2,Shooter,PC,Unknown,ACE Team,,,,,
740,Out of Reach,Action,PC,Space Boat Studios,Space Boat Studios,,,,,
741,Farm Together,Simulation,PC,Milkstone Studios,Milkstone Studios S.L.,,,,,
742,Final Fantasy XII: The Zodiac Age,Role-Playing,PC,Square Enix,Square Enix,,,,,
743,Staxel,Simulation,PC,Humble Bundle,Plukit,,,,,
744,Heroes of Hammerwatch,Action-Adventure,PC,Crackshell,Crackshell,,,,,
745,Monster Prom,Simulation,PC,Those Awesome Guys,Beautiful Glitch,,,,,
746,AXYOS,Shooter,PC,Axyos Games,Axyos Games,,,,,
747,Salt,Adventure,PC,Lavaboots Studios,Lavaboots Studios,,,,,
748,BallisticNG,Racing,PC,Neognosis,Neognosis,,,,,
749,Agony,Action,PC,PlayWay,Madmind Studio,,,,,
750,DUSK,Shooter,PC,New Blood Interactive,David Szymanski,,,,,
751,.hack//G.U. Last Recode,Role-Playing,PC,Namco Bandai Games,CyberConnect2,,,,,
752,A Way Out,Action,PC,Electronic Arts,Hazelight,,,,,
753,Below,Action-Adventure,XOne,Capybara Games,Capybara Games,,,,,
754,Below,Action-Adventure,PC,Capybara Games,Capybara Games,,,,,
755,Cyberdimension Neptunia: 4 Goddesses Online,Role-Playing,PC,Idea Factory International,Compile Heart,,,,,
756,Dead Island 2,Action,XOne,Deep Silver,Sumo Digital,,,,,
757,Dead Island 2,Action,PC,Deep Silver,Sumo Digital,,,,,
758,Donut County,Adventure,And,Annapurna Interactive,Unknown,,,,,
759,Donut County,Adventure,OSX,Annapurna Interactive,Unknown,,,,,
760,Donut County,Adventure,PC,Annapurna Interactive,Unknown,,,,,
761,Dragon's Prophet,MMO,PC,Sony Online Entertainment,Runewalker Entertainment Ltd.,,,,,
762,Extinction,Action,PC,Maximum Games,Iron Galaxy,,,,,
763,Fe,Action,XOne,Electronic Arts,Zoink Games,,,,,
764,Fe,Action,PS4,Electronic Arts,Zoink Games,,,,,
765,Fe,Action,PC,Electronic Arts,Zoink Games,,,,,
766,Get Even,Misc,PS4,Farm 51,Unknown,,,,,
767,H1Z1,Shooter,PC,Daybreak Games,Daybreak Games,,,,,
768,H1Z1: Battle Royale,Shooter,PS4,Daybreak Games,Daybreak Games,,,,,
769,La-Mulana 2,Platform,PC,AGM Playism,Nigoro,,,,,
770,Labyrinth,Adventure,PC,Unknown,Lucasfilm Games,,,,,
771,Lady Layton: The Millionaire Ariadone's Conspiracy,Puzzle,And,Level 5,Level 5,,,,,
772,Lost Sphear,Role-Playing,PC,Square Enix,Tokyo RPG Factory,,,,,
773,Monster Hunter: World,Action,PC,Capcom,Capcom,,,,,
774,Naruto to Boruto: Shinobi Striker,Action,PC,Namco Bandai Games,Soleil Software Studio Inc.,,,,,
775,Pit People,Strategy,XOne,The Behemoth,The Behemoth,,,,,
776,Red Goddess,Platform,XOne,Yanim Studio,Yanim Studio,,,,,
777,Red Goddess,Misc,WiiU,Yanim Studio,Unknown,,,,,
778,Red Goddess,Misc,PSV,Yanim Studio,Unknown,,,,,
779,Redout,Racing,NS,Nicalis,Nicalis,,,,,
780,Rust,Action-Adventure,OSX,Facepunch Studios,Facepunch Studios,,,,,
781,Sea of Thieves,Action-Adventure,PC,Microsoft Studios,Rare Ltd.,,,,,
782,Sonic Forces,Platform,PC,Sega,Sonic Team,,,,,
783,Super Lucky's Tale,Platform,PC,THQ Nordic,Playful Corp.,,,,,
784,The Crew 2,Racing,PC,Ubisoft,Ivory Tower,,,,,
785,World to the West,Action-Adventure,WiiU,Rain Games,Rain Games,,,,,
786,Wulverblade,Action,XOne,Darkwind Media,Darkwind Media,,,,,
787,Wulverblade,Action,PC,Darkwind Media,Darkwind Media,,,,,
788,Yooka-Laylee,Platform,OSX,Team17 Software,Playtonic Games,,,,,
789,Yooka-Laylee,Platform,Linux,Team17 Software,Playtonic Games,,,,,
790,Fallout Shelter,Simulation,NS,Bethesda Softworks,Bethesda Softworks,,,,,
791,Red Faction: Guerrilla Re-Mars-tered,Shooter,PC,THQ Nordic,Volition,,,,,
792,The Infectious Madness of Doctor Dekker,Adventure,PC,D'Avekki Studios Limited,D'Avekki Studios Limited,,,,,
793,The Infectious Madness of Doctor Dekker,Adventure,NS,Wales Interactive Ltd.,D'Avekki Studios Limited,,,,,
794,The Infectious Madness of Doctor Dekker,Adventure,PS4,Wales Interactive Ltd.,D'Avekki Studios Limited,,,,,
